ID,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzles,SelfTeamCollab,Enjoyment,Enjoyment_GroupSpecificity,Difficulty,Difficulty_GroupSpecificity,Difficulty_Mastermind,Enjoyment_Mastermind,TeamCollab_Mastermind,SkillComp_Mastermind,SelfParticipation_Mastermind,PerceivedSolveTime_Mastermind,Difficulty_ColoredLetters,Enjoyment_ColoredLetters,TeamCollab_ColoredLetters,SkillComp_ColoredLetters,SelfParticipation_ColoredLetters,PerceivedSolveTime_ColoredLetters,Difficulty_Cables,Enjoyment_Cables,TeamCollab_Cables,SkillComp_Cables,SelfParticipation_Cables,PerceivedSolveTime_Cables,Difficulty_FlyerCipher,Enjoyment_FlyerCipher,TeamCollab_FlyerCipher,SkillComp_FlyerCipher,SelfParticipation_FlyerCipher,PerceivedSolveTime_FlyerCipher,Difficulty_Myspace,Enjoyment_Myspace,TeamCollab_Myspace,SkillComp_Myspace,SelfParticipation_Myspace,PerceivedSolveTime_Myspace,Difficulty_Maze,Enjoyment_Maze,TeamCollab_Maze,SkillComp_Maze,SelfParticipation_Maze,PerceivedSolveTime_Maze,Teammate,Morality,Ability,Sociability,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzles,TeamCollab,Leader,Influence,GameLeader,LeastParticipation,Camaraderie,MostImportant_Mastermind,LeastImportant_Mastermind,MostImportant_ColoredLetters,LeastImportant_ColoredLetters,MostImportant_Cables,LeastImportant_Cables,MostImportant_FlyerCipher,LeastImportant_FlyerCipher,MostImportant_Myspace,LeastImportant_Myspace,MostImportant_Maze,LeastImportant_Maze
02C,2,10.0,9.5,9.25,8,10,10,5,8,0,9,6,9,2,7,10,3,8,8,2,8,5,1,7,8,2,9,3,9,7,10,4,9,9,7,7,8,3,8,12,8,8,10,3,9,10,02D,10.0,8.25,9.0,10,10,10,10,10,10,10,10,6,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02A,02D,02E,02D
02C,2,10.0,9.5,9.25,8,10,10,5,8,0,9,6,9,2,7,10,3,8,8,2,8,5,1,7,8,2,9,3,9,7,10,4,9,9,7,7,8,3,8,12,8,8,10,3,9,10,02E,9.5,9.0,10.0,10,10,2,10,10,10,10,6,10,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02A,02D,02E,02D
02E,2,8.0,7.5,8.0,9,8,9,6,7,3,6,7,8,2,7,7,6,8,7,2,9,10,3,6,7,2,6,3,6,6,5,3,7,7,5,4,4,3,6,8,5,7,4,2,10,8,02A,8.75,5.75,7.5,7,3,1,2,2,6,2,1,6,5,02E,02B,02B,02D,02E,02B,02D,02E,02D,02B,02D,02E,02D,02C,02D,02E,02D
02E,2,8.0,7.5,8.0,9,8,9,6,7,3,6,7,8,2,7,7,6,8,7,2,9,10,3,6,7,2,6,3,6,6,5,3,7,7,5,4,4,3,6,8,5,7,4,2,10,8,02B,8.25,6.5,7.75,7,3,2,2,2,6,2,2,7,7,02E,02B,02B,02D,02E,02B,02D,02E,02D,02B,02D,02E,02D,02C,02D,02E,02D
02E,2,8.0,7.5,8.0,9,8,9,6,7,3,6,7,8,2,7,7,6,8,7,2,9,10,3,6,7,2,6,3,6,6,5,3,7,7,5,4,4,3,6,8,5,7,4,2,10,8,02C,9.25,8.75,8.75,10,9,5,9,9,10,8,5,7,8,02E,02B,02B,02D,02E,02B,02D,02E,02D,02B,02D,02E,02D,02C,02D,02E,02D
02E,2,8.0,7.5,8.0,9,8,9,6,7,3,6,7,8,2,7,7,6,8,7,2,9,10,3,6,7,2,6,3,6,6,5,3,7,7,5,4,4,3,6,8,5,7,4,2,10,8,02D,7.5,6.5,6.75,7,3,2,2,2,6,3,2,5,5,02E,02B,02B,02D,02E,02B,02D,02E,02D,02B,02D,02E,02D,02C,02D,02E,02D
02D,2,10.0,8.75,10.0,6,8,8,7,6,6,6,8,10,3,1,7,2,7,6,2,1,3,3,8,10,2,4,5,8,8,10,3,3,15,6,6,10,3,2,15,6,4,10,2,4,12,02A,10.0,10.0,10.0,7,6,3,3,3,6,3,3,10,10,02B,02C,02B,02D,02C,02B,02D,02C,02D,02C,02A,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.75,10.0,6,8,8,7,6,6,6,8,10,3,1,7,2,7,6,2,1,3,3,8,10,2,4,5,8,8,10,3,3,15,6,6,10,3,2,15,6,4,10,2,4,12,02B,10.0,10.0,10.0,10,10,7,10,10,10,10,7,10,10,02B,02C,02B,02D,02C,02B,02D,02C,02D,02C,02A,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.75,10.0,6,8,8,7,6,6,6,8,10,3,1,7,2,7,6,2,1,3,3,8,10,2,4,5,8,8,10,3,3,15,6,6,10,3,2,15,6,4,10,2,4,12,02C,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,02B,02C,02B,02D,02C,02B,02D,02C,02D,02C,02A,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.75,10.0,6,8,8,7,6,6,6,8,10,3,1,7,2,7,6,2,1,3,3,8,10,2,4,5,8,8,10,3,3,15,6,6,10,3,2,15,6,4,10,2,4,12,02E,10.0,10.0,10.0,6,3,2,3,3,6,3,3,10,10,02B,02C,02B,02D,02C,02B,02D,02C,02D,02C,02A,02B,02D,02B,02D,02E,02D
03A,3,10.0,7.25,9.75,6,6,10,8,6,9,7,8,10,4,8,5,7,7,3,3,6,5,7,10,9,3,8,5,4,9,10,4,7,10,6,10,8,3,7,9,10,8,0,4,0,15,03C,10.0,6.75,10.0,10,10,8,10,10,10,10,9,1,6,03E,03E,03E,03C,03B,03E,03C,03E,03C,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,7.25,9.75,6,6,10,8,6,9,7,8,10,4,8,5,7,7,3,3,6,5,7,10,9,3,8,5,4,9,10,4,7,10,6,10,8,3,7,9,10,8,0,4,0,15,03B,10.0,9.0,10.0,10,10,10,10,10,10,10,10,8,9,03E,03E,03E,03C,03B,03E,03C,03E,03C,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,7.25,9.75,6,6,10,8,6,9,7,8,10,4,8,5,7,7,3,3,6,5,7,10,9,3,8,5,4,9,10,4,7,10,6,10,8,3,7,9,10,8,0,4,0,15,03D,10.0,6.75,9.75,10,8,0,1,1,10,8,0,7,8,03E,03E,03E,03C,03B,03E,03C,03E,03C,03A,03C,03E,03C,03E,03C,03E,03A
03A,3,10.0,7.25,9.75,6,6,10,8,6,9,7,8,10,4,8,5,7,7,3,3,6,5,7,10,9,3,8,5,4,9,10,4,7,10,6,10,8,3,7,9,10,8,0,4,0,15,03E,10.0,5.5,10.0,10,8,0,0,0,10,8,0,10,10,03E,03E,03E,03C,03B,03E,03C,03E,03C,03A,03C,03E,03C,03E,03C,03E,03A
02B,2,8.75,8.25,7.25,8,9,10,5,9,3,6,10,8,2,9,11,7,9,9,2,7,10,3,9,10,1,6,12,9,8,9,2,8,23,10,9,9,2,8,17,8,4,5,3,3,22,02A,9.0,7.75,7.5,10,10,7,10,10,10,10,10,7,9,02B,02B,02B,02D,02C,02B,02D,02E,02D,02C,02D,02B,02D,02A,02D,02E,02D
02B,2,8.75,8.25,7.25,8,9,10,5,9,3,6,10,8,2,9,11,7,9,9,2,7,10,3,9,10,1,6,12,9,8,9,2,8,23,10,9,9,2,8,17,8,4,5,3,3,22,02C,9.25,8.75,8.25,10,9,8,10,10,10,9,7,8,10,02B,02B,02B,02D,02C,02B,02D,02E,02D,02C,02D,02B,02D,02A,02D,02E,02D
02B,2,8.75,8.25,7.25,8,9,10,5,9,3,6,10,8,2,9,11,7,9,9,2,7,10,3,9,10,1,6,12,9,8,9,2,8,23,10,9,9,2,8,17,8,4,5,3,3,22,02D,9.0,7.25,8.5,10,9,3,10,9,9,9,3,5,8,02B,02B,02B,02D,02C,02B,02D,02E,02D,02C,02D,02B,02D,02A,02D,02E,02D
02B,2,8.75,8.25,7.25,8,9,10,5,9,3,6,10,8,2,9,11,7,9,9,2,7,10,3,9,10,1,6,12,9,8,9,2,8,23,10,9,9,2,8,17,8,4,5,3,3,22,02E,9.0,8.0,9.0,8,7,2,8,8,7,6,3,9,10,02B,02B,02B,02D,02C,02B,02D,02E,02D,02C,02D,02B,02D,02A,02D,02E,02D
03B,3,10.0,10.0,10.0,10,10,10,10,10,5,6,10,10,4,8,40,2,3,8,2,10,28,3,3,6,4,2,12,8,8,8,2,10,9,3,7,8,3,8,9,7,3,8,3,9,8,03A,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03E,03A,03D,03A,03E,03D,03E,03D,03E,03D,03E,03D,03B,03D,03E,03D
03B,3,10.0,10.0,10.0,10,10,10,10,10,5,6,10,10,4,8,40,2,3,8,2,10,28,3,3,6,4,2,12,8,8,8,2,10,9,3,7,8,3,8,9,7,3,8,3,9,8,03C,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03E,03A,03D,03A,03E,03D,03E,03D,03E,03D,03E,03D,03B,03D,03E,03D
03B,3,10.0,10.0,10.0,10,10,10,10,10,5,6,10,10,4,8,40,2,3,8,2,10,28,3,3,6,4,2,12,8,8,8,2,10,9,3,7,8,3,8,9,7,3,8,3,9,8,03D,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03E,03A,03D,03A,03E,03D,03E,03D,03E,03D,03E,03D,03B,03D,03E,03D
03B,3,10.0,10.0,10.0,10,10,10,10,10,5,6,10,10,4,8,40,2,3,8,2,10,28,3,3,6,4,2,12,8,8,8,2,10,9,3,7,8,3,8,9,7,3,8,3,9,8,03E,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03E,03A,03D,03A,03E,03D,03E,03D,03E,03D,03E,03D,03B,03D,03E,03D
03D,3,9.0,8.25,9.0,5,5,8,5,10,5,9,9,10,3,0,11,9,6,10,3,0,9,5,6,10,2,2,5,10,0,10,2,0,7,10,0,10,2,0,4,10,0,10,3,0,13,03E,9.25,7.25,9.75,10,10,10,10,9,10,10,10,9,6,03E,03E,03E,03A,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,8.25,9.0,5,5,8,5,10,5,9,9,10,3,0,11,9,6,10,3,0,9,5,6,10,2,2,5,10,0,10,2,0,7,10,0,10,2,0,4,10,0,10,3,0,13,03C,8.0,7.25,8.75,10,10,8,10,10,10,10,10,5,5,03E,03E,03E,03A,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,8.25,9.0,5,5,8,5,10,5,9,9,10,3,0,11,9,6,10,3,0,9,5,6,10,2,2,5,10,0,10,2,0,7,10,0,10,2,0,4,10,0,10,3,0,13,03A,7.0,7.25,8.75,8,8,7,7,6,8,8,8,6,5,03E,03E,03E,03A,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,8.25,9.0,5,5,8,5,10,5,9,9,10,3,0,11,9,6,10,3,0,9,5,6,10,2,2,5,10,0,10,2,0,7,10,0,10,2,0,4,10,0,10,3,0,13,03B,8.0,8.0,8.25,8,8,7,7,5,8,8,7,7,6,03E,03E,03E,03A,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
06E,6,6.25,5.25,5.25,5,4,6,6,6,6,6,4,7,3,7,28,7,3,7,3,6,29,6,4,6,2,7,28,7,4,7,2,7,28,7,7,7,2,7,26,7,7,7,2,7,27,06A,5.25,5.0,5.25,6,3,4,4,5,5,5,5,5,5,06A,06D,06A,06E,06C,06B,06B,06D,06E,06A,06E,06E,06D,06D,06B,06C,06B
06E,6,6.25,5.25,5.25,5,4,6,6,6,6,6,4,7,3,7,28,7,3,7,3,6,29,6,4,6,2,7,28,7,4,7,2,7,28,7,7,7,2,7,26,7,7,7,2,7,27,06D,5.0,5.0,5.5,10,10,8,5,6,6,8,5,5,5,06A,06D,06A,06E,06C,06B,06B,06D,06E,06A,06E,06E,06D,06D,06B,06C,06B
06E,6,6.25,5.25,5.25,5,4,6,6,6,6,6,4,7,3,7,28,7,3,7,3,6,29,6,4,6,2,7,28,7,4,7,2,7,28,7,7,7,2,7,26,7,7,7,2,7,27,06C,5.25,6.0,5.5,5,5,5,5,5,5,6,5,5,5,06A,06D,06A,06E,06C,06B,06B,06D,06E,06A,06E,06E,06D,06D,06B,06C,06B
06E,6,6.25,5.25,5.25,5,4,6,6,6,6,6,4,7,3,7,28,7,3,7,3,6,29,6,4,6,2,7,28,7,4,7,2,7,28,7,7,7,2,7,26,7,7,7,2,7,27,06B,5.5,5.25,6.25,6,6,6,4,5,5,5,5,6,5,06A,06D,06A,06E,06C,06B,06B,06D,06E,06A,06E,06E,06D,06D,06B,06C,06B
06C,6,9.25,4.5,5.75,9,5,9,6,6,1,4,8,8,3,10,9,2,5,6,3,6,5,5,5,10,4,5,15,8,5,8,5,5,20,5,5,5,4,5,20,3,8,10,3,5,13,06A,9.0,8.75,5.5,6,5,4,4,3,6,5,4,7,7,06A,06D,06C,06E,06D,06C,06A,06A,06D,06D,06D,06E,06B,06C,06C,06A,06B
06C,6,9.25,4.5,5.75,9,5,9,6,6,1,4,8,8,3,10,9,2,5,6,3,6,5,5,5,10,4,5,15,8,5,8,5,5,20,5,5,5,4,5,20,3,8,10,3,5,13,06B,8.25,8.0,6.0,10,10,5,10,10,10,10,5,6,8,06A,06D,06C,06E,06D,06C,06A,06A,06D,06D,06D,06E,06B,06C,06C,06A,06B
06C,6,9.25,4.5,5.75,9,5,9,6,6,1,4,8,8,3,10,9,2,5,6,3,6,5,5,5,10,4,5,15,8,5,8,5,5,20,5,5,5,4,5,20,3,8,10,3,5,13,06D,9.25,8.5,10.0,7,5,3,4,4,6,5,3,7,9,06A,06D,06C,06E,06D,06C,06A,06A,06D,06D,06D,06E,06B,06C,06C,06A,06B
06C,6,9.25,4.5,5.75,9,5,9,6,6,1,4,8,8,3,10,9,2,5,6,3,6,5,5,5,10,4,5,15,8,5,8,5,5,20,5,5,5,4,5,20,3,8,10,3,5,13,06E,9.0,8.0,9.0,9,8,8,8,8,8,8,8,8,8,06A,06D,06C,06E,06D,06C,06A,06A,06D,06D,06D,06E,06B,06C,06C,06A,06B
06A,6,7.25,6.5,6.25,6,8,6,6,4,4,4,3,6,1,4,3,3,4,4,1,5,2,2,3,7,4,7,5,6,6,5,5,6,10,3,4,4,2,5,2,6,6,7,3,7,10,06B,7.25,6.5,6.0,8,7,6,8,8,7,7,6,7,7,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06C,06D,06A,06B
06A,6,7.25,6.5,6.25,6,8,6,6,4,4,4,3,6,1,4,3,3,4,4,1,5,2,2,3,7,4,7,5,6,6,5,5,6,10,3,4,4,2,5,2,6,6,7,3,7,10,06C,8.0,6.75,6.75,7,6,6,6,3,6,6,6,8,4,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06C,06D,06A,06B
06A,6,7.25,6.5,6.25,6,8,6,6,4,4,4,3,6,1,4,3,3,4,4,1,5,2,2,3,7,4,7,5,6,6,5,5,6,10,3,4,4,2,5,2,6,6,7,3,7,10,06D,5.75,5.25,7.0,8,7,4,8,8,8,7,4,4,6,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06C,06D,06A,06B
06A,6,7.25,6.5,6.25,6,8,6,6,4,4,4,3,6,1,4,3,3,4,4,1,5,2,2,3,7,4,7,5,6,6,5,5,6,10,3,4,4,2,5,2,6,6,7,3,7,10,06E,5.0,6.5,5.5,6,4,4,6,3,6,3,4,7,6,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06C,06D,06A,06B
06B,6,10.0,8.25,8.25,8,9,7,5,7,8,5,7,9,3,7,10,6,8,8,3,7,14,6,5,10,3,8,15,8,5,10,4,8,30,6,8,10,3,8,25,5,5,10,2,0,10,06C,10.0,10.0,10.0,10,10,10,10,10,10,9,10,10,9,06A,06C,06A,06D,06C,06C,06D,06C,06E,06A,06E,06E,06D,06E,06B,06A,06B
06B,6,10.0,8.25,8.25,8,9,7,5,7,8,5,7,9,3,7,10,6,8,8,3,7,14,6,5,10,3,8,15,8,5,10,4,8,30,6,8,10,3,8,25,5,5,10,2,0,10,06A,10.0,10.0,10.0,10,10,10,10,10,10,10,10,8,9,06A,06C,06A,06D,06C,06C,06D,06C,06E,06A,06E,06E,06D,06E,06B,06A,06B
06B,6,10.0,8.25,8.25,8,9,7,5,7,8,5,7,9,3,7,10,6,8,8,3,7,14,6,5,10,3,8,15,8,5,10,4,8,30,6,8,10,3,8,25,5,5,10,2,0,10,06D,10.0,10.0,10.0,10,10,10,10,9,10,10,8,8,7,06A,06C,06A,06D,06C,06C,06D,06C,06E,06A,06E,06E,06D,06E,06B,06A,06B
06B,6,10.0,8.25,8.25,8,9,7,5,7,8,5,7,9,3,7,10,6,8,8,3,7,14,6,5,10,3,8,15,8,5,10,4,8,30,6,8,10,3,8,25,5,5,10,2,0,10,06E,10.0,10.0,9.0,10,8,6,9,9,9,8,8,9,8,06A,06C,06A,06D,06C,06C,06D,06C,06E,06A,06E,06E,06D,06E,06B,06A,06B
05A,5,8.5,8.25,7.0,10,10,8,8,3,2,4,6,8,1,8,3,1,4,4,1,10,2,3,4,10,1,7,3,4,7,7,1,10,5,6,6,8,2,8,5,7,2,9,2,9,6,05B,3.0,8.25,2.0,7,7,3,10,7,7,6,7,8,7,05A,05A,05D,05C,05A,05D,05C,05A,05C,05E,05C,05A,05C,05D,05C,05E,05C
05A,5,8.5,8.25,7.0,10,10,8,8,3,2,4,6,8,1,8,3,1,4,4,1,10,2,3,4,10,1,7,3,4,7,7,1,10,5,6,6,8,2,8,5,7,2,9,2,9,6,05C,5.0,7.25,1.5,7,7,1,10,8,7,3,2,4,4,05A,05A,05D,05C,05A,05D,05C,05A,05C,05E,05C,05A,05C,05D,05C,05E,05C
05A,5,8.5,8.25,7.0,10,10,8,8,3,2,4,6,8,1,8,3,1,4,4,1,10,2,3,4,10,1,7,3,4,7,7,1,10,5,6,6,8,2,8,5,7,2,9,2,9,6,05D,9.0,9.0,6.5,6,6,3,10,7,7,6,6,10,10,05A,05A,05D,05C,05A,05D,05C,05A,05C,05E,05C,05A,05C,05D,05C,05E,05C
05A,5,8.5,8.25,7.0,10,10,8,8,3,2,4,6,8,1,8,3,1,4,4,1,10,2,3,4,10,1,7,3,4,7,7,1,10,5,6,6,8,2,8,5,7,2,9,2,9,6,05E,8.0,8.25,7.0,10,9,8,10,10,8,8,7,10,10,05A,05A,05D,05C,05A,05D,05C,05A,05C,05E,05C,05A,05C,05D,05C,05E,05C
05C,5,9.0,8.25,7.5,7,7,10,10,10,0,7,7,7,1,2,10,5,5,5,1,10,2,1,2,3,1,10,4,5,5,5,3,5,20,6,5,3,2,5,11,10,0,10,1,0,15,05D,10.0,10.0,9.0,9,6,6,7,5,7,6,6,10,10,05A,05D,05A,05B,05D,05A,05B,05C,05B,05C,05B,05E,05C,05E,05B,05E,05C
05C,5,9.0,8.25,7.5,7,7,10,10,10,0,7,7,7,1,2,10,5,5,5,1,10,2,1,2,3,1,10,4,5,5,5,3,5,20,6,5,3,2,5,11,10,0,10,1,0,15,05B,9.0,9.0,9.0,10,10,10,10,10,10,10,10,8,8,05A,05D,05A,05B,05D,05A,05B,05C,05B,05C,05B,05E,05C,05E,05B,05E,05C
05C,5,9.0,8.25,7.5,7,7,10,10,10,0,7,7,7,1,2,10,5,5,5,1,10,2,1,2,3,1,10,4,5,5,5,3,5,20,6,5,3,2,5,11,10,0,10,1,0,15,05A,8.25,8.25,8.25,10,10,10,10,10,10,10,10,10,10,05A,05D,05A,05B,05D,05A,05B,05C,05B,05C,05B,05E,05C,05E,05B,05E,05C
05C,5,9.0,8.25,7.5,7,7,10,10,10,0,7,7,7,1,2,10,5,5,5,1,10,2,1,2,3,1,10,4,5,5,5,3,5,20,6,5,3,2,5,11,10,0,10,1,0,15,05E,8.25,8.25,8.0,9,8,7,9,5,9,8,9,7,8,05A,05D,05A,05B,05D,05A,05B,05C,05B,05C,05B,05E,05C,05E,05B,05E,05C
05D,5,9.5,8.0,8.0,8,9,8,8,8,7,6,5,6,3,5,10,4,5,4,2,3,0,5,7,8,2,8,4,9,9,9,2,3,10,6,7,7,2,5,7,8,1,7,2,9,8,05A,8.25,9.0,7.5,7,8,8,6,6,7,7,7,8,7,05B,05A,05A,05C,05A,05E,05B,05A,05C,05E,05B,05B,05C,05E,05B,05A,05C
05D,5,9.5,8.0,8.0,8,9,8,8,8,7,6,5,6,3,5,10,4,5,4,2,3,0,5,7,8,2,8,4,9,9,9,2,3,10,6,7,7,2,5,7,8,1,7,2,9,8,05B,9.5,9.5,8.25,10,9,10,10,8,9,9,9,10,9,05B,05A,05A,05C,05A,05E,05B,05A,05C,05E,05B,05B,05C,05E,05B,05A,05C
05D,5,9.5,8.0,8.0,8,9,8,8,8,7,6,5,6,3,5,10,4,5,4,2,3,0,5,7,8,2,8,4,9,9,9,2,3,10,6,7,7,2,5,7,8,1,7,2,9,8,05C,8.0,7.0,7.5,7,6,6,6,7,8,6,7,7,7,05B,05A,05A,05C,05A,05E,05B,05A,05C,05E,05B,05B,05C,05E,05B,05A,05C
05D,5,9.5,8.0,8.0,8,9,8,8,8,7,6,5,6,3,5,10,4,5,4,2,3,0,5,7,8,2,8,4,9,9,9,2,3,10,6,7,7,2,5,7,8,1,7,2,9,8,05E,7.25,7.5,6.25,7,7,5,5,5,6,7,7,9,8,05B,05A,05A,05C,05A,05E,05B,05A,05C,05E,05B,05B,05C,05E,05B,05A,05C
06D,6,10.0,10.0,10.0,9,9,10,9,10,9,8,8,8,2,5,20,5,5,5,2,5,20,5,5,5,2,5,20,5,5,5,2,5,20,5,5,5,2,5,15,5,5,5,2,10,20,06E,10.0,10.0,10.0,10,10,9,10,10,10,10,10,10,10,06E,06E,06E,06D,06A,06E,06E,06B,06B,06A,06A,06C,06C,06D,06D,06D,06D
06D,6,10.0,10.0,10.0,9,9,10,9,10,9,8,8,8,2,5,20,5,5,5,2,5,20,5,5,5,2,5,20,5,5,5,2,5,20,5,5,5,2,5,15,5,5,5,2,10,20,06A,10.0,10.0,10.0,10,10,8,10,10,10,10,8,10,10,06E,06E,06E,06D,06A,06E,06E,06B,06B,06A,06A,06C,06C,06D,06D,06D,06D
