ID,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzles,SelfTeamCollab,Enjoyment,Enjoyment_GroupSpecificity,Difficulty,Difficulty_GroupSpecificity,Difficulty_Mastermind,Enjoyment_Mastermind,TeamCollab_Mastermind,SkillComp_Mastermind,SelfParticipation_Mastermind,PerceivedSolveTime_Mastermind,Difficulty_ColoredLetters,Enjoyment_ColoredLetters,TeamCollab_ColoredLetters,SkillComp_ColoredLetters,SelfParticipation_ColoredLetters,PerceivedSolveTime_ColoredLetters,Difficulty_Cables,Enjoyment_Cables,TeamCollab_Cables,SkillComp_Cables,SelfParticipation_Cables,PerceivedSolveTime_Cables,Difficulty_FlyerCipher,Enjoyment_FlyerCipher,TeamCollab_FlyerCipher,SkillComp_FlyerCipher,SelfParticipation_FlyerCipher,PerceivedSolveTime_FlyerCipher,Difficulty_Myspace,Enjoyment_Myspace,TeamCollab_Myspace,SkillComp_Myspace,SelfParticipation_Myspace,PerceivedSolveTime_Myspace,Difficulty_Maze,Enjoyment_Maze,TeamCollab_Maze,SkillComp_Maze,SelfParticipation_Maze,PerceivedSolveTime_Maze,Teammate,Morality,Ability,Sociability,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzles,TeamCollab,Leader,Influence,GameLeader,LeastParticipation,Camaraderie,MostImportant_Mastermind,LeastImportant_Mastermind,MostImportant_ColoredLetters,LeastImportant_ColoredLetters,MostImportant_Cables,LeastImportant_Cables,MostImportant_FlyerCipher,LeastImportant_FlyerCipher,MostImportant_Myspace,LeastImportant_Myspace,MostImportant_Maze,LeastImportant_Maze
03B,3,10.0,10.0,10.0,10,10,10,5,10,1,8,8,10,3,7,,6,7,8,2,5,,10,1,10,3,0,,7,9,9,3,8,,4,7,9,3,6,,7,8,9,3,9,,03E,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03A,03E,03C,03A,03E,03C,03E,03C,03E,03C,03B,03C,03D,03B,03E,03C
03B,3,10.0,10.0,10.0,10,10,10,5,10,1,8,8,10,3,7,,6,7,8,2,5,,10,1,10,3,0,,7,9,9,3,8,,4,7,9,3,6,,7,8,9,3,9,,03D,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,03A,03A,03E,03C,03A,03E,03C,03E,03C,03E,03C,03B,03C,03D,03B,03E,03C
03D,3,9.0,7.0,8.75,5,6,7,5,10,5,10,3,10,2,1,,10,4,10,2,0,,8,7,10,2,5,,7,5,10,2,0,,10,2,10,2,0,,10,0,10,1,0,,03C,8.0,7.0,9.0,10,10,8,10,10,10,10,10,6,6,03E,03E,03B,03D,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,7.0,8.75,5,6,7,5,10,5,10,3,10,2,1,,10,4,10,2,0,,8,7,10,2,5,,7,5,10,2,0,,10,2,10,2,0,,10,0,10,1,0,,03E,9.75,8.0,9.75,10,10,10,10,10,10,10,10,10,8,03E,03E,03B,03D,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,7.0,8.75,5,6,7,5,10,5,10,3,10,2,1,,10,4,10,2,0,,8,7,10,2,5,,7,5,10,2,0,,10,2,10,2,0,,10,0,10,1,0,,03B,6.75,8.0,8.5,9,7,5,6,5,9,8,8,9,7,03E,03E,03B,03D,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03D,3,9.0,7.0,8.75,5,6,7,5,10,5,10,3,10,2,1,,10,4,10,2,0,,8,7,10,2,5,,7,5,10,2,0,,10,2,10,2,0,,10,0,10,1,0,,03A,8.0,8.0,9.0,9,8,7,7,6,8,8,8,6,6,03E,03E,03B,03D,03E,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D,03E,03D
03C,3,10.0,7.75,9.5,1,2,7,5,7,5,7,6,7,3,4,,0,7,7,1,5,,9,1,9,1,1,,6,6,6,4,6,,0,3,3,1,5,,9,4,9,2,4,,03A,9.0,7.75,8.5,10,9,8,10,10,9,8,8,2,2,03E,03E,03B,03C,03B,03E,03C,03E,03A,03E,03C,03E,03D,03E,03D,03E,03D
03C,3,10.0,7.75,9.5,1,2,7,5,7,5,7,6,7,3,4,,0,7,7,1,5,,9,1,9,1,1,,6,6,6,4,6,,0,3,3,1,5,,9,4,9,2,4,,03B,9.0,8.5,8.75,9,8,7,9,8,8,8,7,6,5,03E,03E,03B,03C,03B,03E,03C,03E,03A,03E,03C,03E,03D,03E,03D,03E,03D
03C,3,10.0,7.75,9.5,1,2,7,5,7,5,7,6,7,3,4,,0,7,7,1,5,,9,1,9,1,1,,6,6,6,4,6,,0,3,3,1,5,,9,4,9,2,4,,03D,7.75,7.25,8.0,10,10,8,10,10,10,10,8,3,4,03E,03E,03B,03C,03B,03E,03C,03E,03A,03E,03C,03E,03D,03E,03D,03E,03D
03C,3,10.0,7.75,9.5,1,2,7,5,7,5,7,6,7,3,4,,0,7,7,1,5,,9,1,9,1,1,,6,6,6,4,6,,0,3,3,1,5,,9,4,9,2,4,,03E,8.75,7.75,9.5,10,10,8,10,10,10,10,8,10,8,03E,03E,03B,03C,03B,03E,03C,03E,03A,03E,03C,03E,03D,03E,03D,03E,03D
02D,2,10.0,8.5,10.0,1,6,10,6,4,4,6,4,8,2,1,,6,6,6,2,0,,3,8,8,3,6,,7,7,10,4,2,,2,3,4,3,0,,4,4,10,2,3,,02A,10.0,10.0,10.0,8,6,3,6,6,6,3,3,10,10,02B,02C,02B,02D,02C,02B,02D,02B,02D,02C,02D,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.5,10.0,1,6,10,6,4,4,6,4,8,2,1,,6,6,6,2,0,,3,8,8,3,6,,7,7,10,4,2,,2,3,4,3,0,,4,4,10,2,3,,02B,10.0,10.0,10.0,10,10,6,10,10,10,10,6,10,10,02B,02C,02B,02D,02C,02B,02D,02B,02D,02C,02D,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.5,10.0,1,6,10,6,4,4,6,4,8,2,1,,6,6,6,2,0,,3,8,8,3,6,,7,7,10,4,2,,2,3,4,3,0,,4,4,10,2,3,,02C,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,02B,02C,02B,02D,02C,02B,02D,02B,02D,02C,02D,02B,02D,02B,02D,02E,02D
02D,2,10.0,8.5,10.0,1,6,10,6,4,4,6,4,8,2,1,,6,6,6,2,0,,3,8,8,3,6,,7,7,10,4,2,,2,3,4,3,0,,4,4,10,2,3,,02E,10.0,10.0,9.5,7,3,2,2,2,6,2,2,10,10,02B,02C,02B,02D,02C,02B,02D,02B,02D,02C,02D,02B,02D,02B,02D,02E,02D
02E,2,8.75,6.75,7.5,9,9,10,7,7,2,7,6,8,2,6,,3,8,6,1,9,,2,7,7,3,7,,5,8,7,2,10,,5,4,5,2,5,,5,7,5,3,10,,02A,8.75,6.0,7.25,6,4,1,2,2,6,3,2,5,5,02B,02E,02B,02D,02E,02B,02D,02E,02D,02C,02D,02E,02A,02B,02D,02E,02D
02E,2,8.75,6.75,7.5,9,9,10,7,7,2,7,6,8,2,6,,3,8,6,1,9,,2,7,7,3,7,,5,8,7,2,10,,5,4,5,2,5,,5,7,5,3,10,,02B,8.0,6.5,7.5,7,5,2,2,2,7,4,2,8,7,02B,02E,02B,02D,02E,02B,02D,02E,02D,02C,02D,02E,02A,02B,02D,02E,02D
02E,2,8.75,6.75,7.5,9,9,10,7,7,2,7,6,8,2,6,,3,8,6,1,9,,2,7,7,3,7,,5,8,7,2,10,,5,4,5,2,5,,5,7,5,3,10,,02C,9.0,8.0,7.75,10,10,5,10,10,10,9,4,8,8,02B,02E,02B,02D,02E,02B,02D,02E,02D,02C,02D,02E,02A,02B,02D,02E,02D
02E,2,8.75,6.75,7.5,9,9,10,7,7,2,7,6,8,2,6,,3,8,6,1,9,,2,7,7,3,7,,5,8,7,2,10,,5,4,5,2,5,,5,7,5,3,10,,02D,6.5,5.75,6.75,6,4,2,2,2,6,4,2,3,4,02B,02E,02B,02D,02E,02B,02D,02E,02D,02C,02D,02E,02A,02B,02D,02E,02D
02A,2,8.75,7.5,7.75,7,9,9,8,8,1,6,6,10,2,6,,2,6,6,1,6,,4,6,6,2,6,,9,8,10,3,8,,7,8,7,1,9,,10,8,6,2,4,,02B,8.75,8.75,8.5,10,10,7,10,10,10,10,6,8,7,02B,02B,02B,02D,02C,02C,02D,02E,02D,02E,02D,02A,02D,02A,02D,02E,02D
02A,2,8.75,7.5,7.75,7,9,9,8,8,1,6,6,10,2,6,,2,6,6,1,6,,4,6,6,2,6,,9,8,10,3,8,,7,8,7,1,9,,10,8,6,2,4,,02C,9.25,7.5,7.25,8,7,6,8,7,8,7,6,8,8,02B,02B,02B,02D,02C,02C,02D,02E,02D,02E,02D,02A,02D,02A,02D,02E,02D
02A,2,8.75,7.5,7.75,7,9,9,8,8,1,6,6,10,2,6,,2,6,6,1,6,,4,6,6,2,6,,9,8,10,3,8,,7,8,7,1,9,,10,8,6,2,4,,02D,9.25,5.0,7.0,7,5,2,6,6,7,6,4,3,9,02B,02B,02B,02D,02C,02C,02D,02E,02D,02E,02D,02A,02D,02A,02D,02E,02D
02A,2,8.75,7.5,7.75,7,9,9,8,8,1,6,6,10,2,6,,2,6,6,1,6,,4,6,6,2,6,,9,8,10,3,8,,7,8,7,1,9,,10,8,6,2,4,,02E,9.0,8.25,7.75,6,4,6,5,3,5,5,5,10,9,02B,02B,02B,02D,02C,02C,02D,02E,02D,02E,02D,02A,02D,02A,02D,02E,02D
02C,2,10.0,9.5,9.5,9,10,10,7,4,2,8,3,10,3,8,,2,8,10,2,8,,0,8,10,2,10,,8,9,10,4,8,,7,8,8,2,6,,10,10,10,4,8,,02A,9.75,9.0,9.0,9,7,7,7,6,9,8,2,10,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02B,02C,02E,02D
02C,2,10.0,9.5,9.5,9,10,10,7,4,2,8,3,10,3,8,,2,8,10,2,8,,0,8,10,2,10,,8,9,10,4,8,,7,8,8,2,6,,10,10,10,4,8,,02B,9.25,10.0,8.0,10,10,9,10,10,10,10,8,10,9,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02B,02C,02E,02D
02C,2,10.0,9.5,9.5,9,10,10,7,4,2,8,3,10,3,8,,2,8,10,2,8,,0,8,10,2,10,,8,9,10,4,8,,7,8,8,2,6,,10,10,10,4,8,,02D,9.5,7.75,9.75,10,10,10,10,10,10,10,10,7,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02B,02C,02E,02D
02C,2,10.0,9.5,9.5,9,10,10,7,4,2,8,3,10,3,8,,2,8,10,2,8,,0,8,10,2,10,,8,9,10,4,8,,7,8,8,2,6,,10,10,10,4,8,,02E,10.0,8.75,10.0,10,10,2,10,10,10,10,4,9,10,02B,02C,02B,02D,02E,02B,02D,02E,02D,02C,02D,02A,02D,02B,02C,02E,02D
02B,2,8.25,9.0,7.75,9,10,10,7,8,2,4,8,9,2,10,,6,9,8,2,6,,2,6,7,2,7,,9,8,9,3,9,,7,10,9,1,9,,8,3,7,2,5,,02A,9.25,8.0,7.0,10,10,6,10,10,10,10,8,7,9,02B,02B,02B,02D,02B,02B,02D,02E,02D,02C,02D,02B,02D,02B,02D,02E,02D
02B,2,8.25,9.0,7.75,9,10,10,7,8,2,4,8,9,2,10,,6,9,8,2,6,,2,6,7,2,7,,9,8,9,3,9,,7,10,9,1,9,,8,3,7,2,5,,02C,9.25,8.0,8.25,10,9,7,9,9,10,9,7,9,10,02B,02B,02B,02D,02B,02B,02D,02E,02D,02C,02D,02B,02D,02B,02D,02E,02D
02B,2,8.25,9.0,7.75,9,10,10,7,8,2,4,8,9,2,10,,6,9,8,2,6,,2,6,7,2,7,,9,8,9,3,9,,7,10,9,1,9,,8,3,7,2,5,,02D,9.0,6.75,8.75,10,8,3,9,9,10,7,3,4,9,02B,02B,02B,02D,02B,02B,02D,02E,02D,02C,02D,02B,02D,02B,02D,02E,02D
02B,2,8.25,9.0,7.75,9,10,10,7,8,2,4,8,9,2,10,,6,9,8,2,6,,2,6,7,2,7,,9,8,9,3,9,,7,10,9,1,9,,8,3,7,2,5,,02E,8.75,8.5,9.25,8,6,2,8,7,8,5,3,9,10,02B,02B,02B,02D,02B,02B,02D,02E,02D,02C,02D,02B,02D,02B,02D,02E,02D
06E,6,8.0,8.25,6.5,6,6,7,7,6,6,5,5,5,3,5,,5,5,5,3,5,,5,5,5,1,5,,7,5,5,4,6,,5,5,5,3,5,,5,5,5,2,5,,06A,10.0,10.0,10.0,10,9,10,10,6,4,7,10,7,6,06A,06D,06A,06E,06B,06B,06E,06B,06D,06C,06E,06E,06A,06E,06D,06C,06B
06E,6,8.0,8.25,6.5,6,6,7,7,6,6,5,5,5,3,5,,5,5,5,3,5,,5,5,5,1,5,,7,5,5,4,6,,5,5,5,3,5,,5,5,5,2,5,,06C,9.75,10.0,10.0,10,10,10,10,10,10,10,10,10,10,06A,06D,06A,06E,06B,06B,06E,06B,06D,06C,06E,06E,06A,06E,06D,06C,06B
06E,6,8.0,8.25,6.5,6,6,7,7,6,6,5,5,5,3,5,,5,5,5,3,5,,5,5,5,1,5,,7,5,5,4,6,,5,5,5,3,5,,5,5,5,2,5,,06B,10.0,10.0,9.5,10,9,10,10,9,10,10,10,10,10,06A,06D,06A,06E,06B,06B,06E,06B,06D,06C,06E,06E,06A,06E,06D,06C,06B
06E,6,8.0,8.25,6.5,6,6,7,7,6,6,5,5,5,3,5,,5,5,5,3,5,,5,5,5,1,5,,7,5,5,4,6,,5,5,5,3,5,,5,5,5,2,5,,06D,6.0,10.0,9.75,10,9,10,10,9,10,9,10,8,7,06A,06D,06A,06E,06B,06B,06E,06B,06D,06C,06E,06E,06A,06E,06D,06C,06B
06A,6,6.75,6.5,6.75,6,6,6,6,6,4,6,4,7,2,4,,3,4,4,1,5,,4,6,7,2,7,,6,6,7,5,7,,4,6,4,4,6,,4,4,8,2,8,,06B,6.75,6.25,6.25,7,7,6,9,8,7,7,7,7,7,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06E,06D,06A,06B
06A,6,6.75,6.5,6.75,6,6,6,6,6,4,6,4,7,2,4,,3,4,4,1,5,,4,6,7,2,7,,6,6,7,5,7,,4,6,4,4,6,,4,4,8,2,8,,06C,7.5,7.5,6.75,7,6,6,6,3,6,6,6,8,6,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06E,06D,06A,06B
06A,6,6.75,6.5,6.75,6,6,6,6,6,4,6,4,7,2,4,,3,4,4,1,5,,4,6,7,2,7,,6,6,7,5,7,,4,6,4,4,6,,4,4,8,2,8,,06D,6.75,6.75,6.75,7,7,6,8,8,8,8,6,6,6,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06E,06D,06A,06B
06A,6,6.75,6.5,6.75,6,6,6,6,6,4,6,4,7,2,4,,3,4,4,1,5,,4,6,7,2,7,,6,6,7,5,7,,4,6,4,4,6,,4,4,8,2,8,,06E,5.25,6.75,6.0,6,6,6,6,3,6,6,6,7,6,06A,06C,06A,06D,06B,06C,06D,06E,06D,06A,06E,06C,06D,06E,06D,06A,06B
06C,6,9.25,4.25,6.5,8,4,8,5,7,0,3,8,8,4,10,,2,5,7,2,7,,5,5,10,3,5,,7,7,7,5,5,,5,5,5,4,5,,4,8,9,3,5,,06E,9.25,7.75,8.25,8,5,4,6,4,7,5,5,7,8,06A,06D,06A,06E,06E,06C,06A,06B,06E,06D,06E,06E,06B,06C,06D,06E,06B
06C,6,9.25,4.25,6.5,8,4,8,5,7,0,3,8,8,4,10,,2,5,7,2,7,,5,5,10,3,5,,7,7,7,5,5,,5,5,5,4,5,,4,8,9,3,5,,06B,9.0,8.5,7.0,10,9,5,10,10,10,10,6,7,7,06A,06D,06A,06E,06E,06C,06A,06B,06E,06D,06E,06E,06B,06C,06D,06E,06B
06C,6,9.25,4.25,6.5,8,4,8,5,7,0,3,8,8,4,10,,2,5,7,2,7,,5,5,10,3,5,,7,7,7,5,5,,5,5,5,4,5,,4,8,9,3,5,,06A,9.0,9.0,7.5,7,5,4,5,5,6,5,5,7,7,06A,06D,06A,06E,06E,06C,06A,06B,06E,06D,06E,06E,06B,06C,06D,06E,06B
06C,6,9.25,4.25,6.5,8,4,8,5,7,0,3,8,8,4,10,,2,5,7,2,7,,5,5,10,3,5,,7,7,7,5,5,,5,5,5,4,5,,4,8,9,3,5,,06D,9.0,8.0,9.75,7,5,4,4,4,5,5,4,7,8,06A,06D,06A,06E,06E,06C,06A,06B,06E,06D,06E,06E,06B,06C,06D,06E,06B
06B,6,10.0,10.0,10.0,8,10,8,7,8,8,5,5,8,3,7,,5,5,7,2,7,,5,5,7,3,8,,8,6,10,4,8,,7,5,9,4,7,,5,5,7,3,0,,06C,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,06A,06B,06A,06B,06C,06C,06D,06C,06B,06B,06E,06E,06D,06C,06D,06A,06B
06B,6,10.0,10.0,10.0,8,10,8,7,8,8,5,5,8,3,7,,5,5,7,2,7,,5,5,7,3,8,,8,6,10,4,8,,7,5,9,4,7,,5,5,7,3,0,,06A,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,06A,06B,06A,06B,06C,06C,06D,06C,06B,06B,06E,06E,06D,06C,06D,06A,06B
06B,6,10.0,10.0,10.0,8,10,8,7,8,8,5,5,8,3,7,,5,5,7,2,7,,5,5,7,3,8,,8,6,10,4,8,,7,5,9,4,7,,5,5,7,3,0,,06D,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,06A,06B,06A,06B,06C,06C,06D,06C,06B,06B,06E,06E,06D,06C,06D,06A,06B
06B,6,10.0,10.0,10.0,8,10,8,7,8,8,5,5,8,3,7,,5,5,7,2,7,,5,5,7,3,8,,8,6,10,4,8,,7,5,9,4,7,,5,5,7,3,0,,06E,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,06A,06B,06A,06B,06C,06C,06D,06C,06B,06B,06E,06E,06D,06C,06D,06A,06B
05A,5,9.0,7.75,8.0,8,9,8,8,6,1,6,7,8,2,10,,1,2,1,1,10,,3,6,10,1,3,,6,7,6,1,10,,7,6,7,2,8,,7,1,7,3,10,,05E,8.0,8.5,6.0,9,9,7,10,9,8,9,7,9,9,05A,05A,05A,05C,05E,05D,05C,05A,05C,05D,05C,05A,05B,05D,05C,05A,05B
05A,5,9.0,7.75,8.0,8,9,8,8,6,1,6,7,8,2,10,,1,2,1,1,10,,3,6,10,1,3,,6,7,6,1,10,,7,6,7,2,8,,7,1,7,3,10,,05B,5.0,9.25,2.75,7,7,6,10,7,8,7,6,8,10,05A,05A,05A,05C,05E,05D,05C,05A,05C,05D,05C,05A,05B,05D,05C,05A,05B
05A,5,9.0,7.75,8.0,8,9,8,8,6,1,6,7,8,2,10,,1,2,1,1,10,,3,6,10,1,3,,6,7,6,1,10,,7,6,7,2,8,,7,1,7,3,10,,05C,6.0,8.0,4.25,8,8,3,10,8,8,6,1,6,6,05A,05A,05A,05C,05E,05D,05C,05A,05C,05D,05C,05A,05B,05D,05C,05A,05B
05A,5,9.0,7.75,8.0,8,9,8,8,6,1,6,7,8,2,10,,1,2,1,1,10,,3,6,10,1,3,,6,7,6,1,10,,7,6,7,2,8,,7,1,7,3,10,,05D,9.0,9.0,7.75,8,7,7,10,6,8,6,7,10,10,05A,05A,05A,05C,05E,05D,05C,05A,05C,05D,05C,05A,05B,05D,05C,05A,05B
05D,5,9.5,8.25,8.5,8,8,8,6,8,4,8,5,5,2,5,,2,5,1,1,5,,6,6,8,2,7,,9,10,9,2,6,,6,7,7,2,8,,10,2,8,2,8,,05A,8.5,8.75,8.0,9,7,7,7,6,8,8,7,10,8,05A,05A,05A,05C,05A,05E,05C,05A,05B,05E,05C,05B,05D,05A,05C,05A,05B
05D,5,9.5,8.25,8.5,8,8,8,6,8,4,8,5,5,2,5,,2,5,1,1,5,,6,6,8,2,7,,9,10,9,2,6,,6,7,7,2,8,,10,2,8,2,8,,05B,9.75,9.5,9.0,10,10,10,10,10,10,10,10,10,10,05A,05A,05A,05C,05A,05E,05C,05A,05B,05E,05C,05B,05D,05A,05C,05A,05B
05D,5,9.5,8.25,8.5,8,8,8,6,8,4,8,5,5,2,5,,2,5,1,1,5,,6,6,8,2,7,,9,10,9,2,6,,6,7,7,2,8,,10,2,8,2,8,,05C,9.0,9.25,9.0,9,7,7,7,5,7,7,7,9,9,05A,05A,05A,05C,05A,05E,05C,05A,05B,05E,05C,05B,05D,05A,05C,05A,05B
05D,5,9.5,8.25,8.5,8,8,8,6,8,4,8,5,5,2,5,,2,5,1,1,5,,6,6,8,2,7,,9,10,9,2,6,,6,7,7,2,8,,10,2,8,2,8,,05E,8.5,7.0,6.75,7,7,7,6,5,7,7,7,7,7,05A,05A,05A,05C,05A,05E,05C,05A,05B,05E,05C,05B,05D,05A,05C,05A,05B
05C,5,9.0,8.5,7.5,6,6,8,9,8,0,8,8,8,2,6,,2,2,2,1,10,,2,5,8,1,9,,9,9,9,3,7,,5,5,5,3,5,,6,6,5,3,0,,05A,8.5,9.0,8.0,10,10,8,10,10,9,9,7,10,10,05A,05A,05A,05B,05D,05E,05B,05C,05B,05C,05B,05A,05C,05D,05B,05A,05C
05C,5,9.0,8.5,7.5,6,6,8,9,8,0,8,8,8,2,6,,2,2,2,1,10,,2,5,8,1,9,,9,9,9,3,7,,5,5,5,3,5,,6,6,5,3,0,,05D,10.0,10.0,10.0,8,7,6,8,5,6,6,6,10,10,05A,05A,05A,05B,05D,05E,05B,05C,05B,05C,05B,05A,05C,05D,05B,05A,05C
05C,5,9.0,8.5,7.5,6,6,8,9,8,0,8,8,8,2,6,,2,2,2,1,10,,2,5,8,1,9,,9,9,9,3,7,,5,5,5,3,5,,6,6,5,3,0,,05E,8.75,7.75,7.5,8,8,7,9,7,9,7,8,10,9,05A,05A,05A,05B,05D,05E,05B,05C,05B,05C,05B,05A,05C,05D,05B,05A,05C
05C,5,9.0,8.5,7.5,6,6,8,9,8,0,8,8,8,2,6,,2,2,2,1,10,,2,5,8,1,9,,9,9,9,3,7,,5,5,5,3,5,,6,6,5,3,0,,05B,9.75,9.0,8.25,10,10,8,10,10,10,10,8,8,7,05A,05A,05A,05B,05D,05E,05B,05C,05B,05C,05B,05A,05C,05D,05B,05A,05C
